symbol,timestamp,open,high,low,close,volume,trade_count,vwap
ETH/USD,2023-05-10 16:03:00+00:00,1878.61,1879.7,1878.61,1879.21,3.4632,12.0,1878.902733599
ETH/USD,2023-05-10 16:04:00+00:00,1879.0,1880.01,1876.823,1880.01,16.214359286,23.0,1878.5472545454
ETH/USD,2023-05-10 16:05:00+00:00,1878.22,1878.22,1876.86,1877.46,6.3867,12.0,1877.1774246481
ETH/USD,2023-05-10 16:06:00+00:00,1877.28,1877.71,1877.23,1877.66,14.9469,25.0,1877.5203705116
ETH/USD,2023-05-10 16:07:00+00:00,1877.69,1878.21,1877.17,1877.17,12.9871,31.0,1877.7045207937
ETH/USD,2023-05-10 16:08:00+00:00,1877.19,1878.4,1876.98,1878.31,20.7168,48.0,1877.5781951363
ETH/USD,2023-05-10 16:09:00+00:00,1877.96,1877.97,1877.48,1877.69,11.1801,12.0,1877.8124408547
ETH/USD,2023-05-10 16:10:00+00:00,1877.38,1878.04,1877.29,1877.86,12.2411,19.0,1877.6553031999
ETH/USD,2023-05-10 16:11:00+00:00,1877.97,1879.48,1877.7,1879.15,16.9832,36.0,1878.6635203024
ETH/USD,2023-05-10 16:12:00+00:00,1879.3,1881.86,1878.99,1881.79,17.4765,39.0,1879.7943272967
ETH/USD,2023-05-10 16:13:00+00:00,1882.0,1883.0,1881.65,1881.69,10.2266,32.0,1882.4675265484
ETH/USD,2023-05-10 16:14:00+00:00,1881.28,1881.77,1880.56,1880.84,13.4366,28.0,1881.0690176086
ETH/USD,2023-05-10 16:15:00+00:00,1880.55,1880.78,1879.03,1880.02,9.7607,20.0,1880.0515658713
ETH/USD,2023-05-10 16:16:00+00:00,1879.43,1881.29,1879.43,1881.29,0.9822,6.0,1879.6898045205
ETH/USD,2023-05-10 16:17:00+00:00,1881.53,1882.93,1881.29,1881.5,13.0395,25.0,1881.9548167491
ETH/USD,2023-05-10 16:18:00+00:00,1881.52,1883.71,1881.52,1883.24,9.8142,31.0,1882.8139654786
ETH/USD,2023-05-10 16:19:00+00:00,1883.79,1883.79,1883.26,1883.26,10.8781,17.0,1883.6622639064
ETH/USD,2023-05-10 16:20:00+00:00,1882.72,1882.87,1881.39,1881.74,10.576,17.0,1881.7732413011
ETH/USD,2023-05-10 16:21:00+00:00,1882.29,1882.3,1880.62,1881.12,10.0991,23.0,1881.3707126378
ETH/USD,2023-05-10 16:22:00+00:00,1880.6,1882.75,1880.07,1882.55,13.2081,26.0,1881.192398301
ETH/USD,2023-05-10 16:23:00+00:00,1882.87,1883.03,1882.15,1882.15,5.5067,12.0,1882.6702393448
ETH/USD,2023-05-10 16:24:00+00:00,1882.32,1883.42,1882.23,1882.59,3.1104,11.0,1882.625467464
ETH/USD,2023-05-10 16:25:00+00:00,1882.72,1882.72,1881.73,1881.73,1.1544,5.0,1882.0242931393
ETH/USD,2023-05-10 16:26:00+00:00,1881.77,1881.77,1880.8,1880.9,6.2552,20.0,1881.1794997762
ETH/USD,2023-05-10 16:27:00+00:00,1880.63,1881.61,1880.0,1881.61,4.3405,14.0,1880.6569607188
ETH/USD,2023-05-10 16:28:00+00:00,1882.0,1882.18,1881.58,1881.69,2.9689,9.0,1881.7993596955
ETH/USD,2023-05-10 16:29:00+00:00,1881.69,1882.5,1881.47,1881.9,7.005,12.0,1881.8841349036
ETH/USD,2023-05-10 16:30:00+00:00,1882.45,1883.92,1882.4,1882.59,17.6134,36.0,1883.1411674066
ETH/USD,2023-05-10 16:31:00+00:00,1882.4,1882.95,1880.6,1880.6,14.2237,36.0,1881.7322954646
ETH/USD,2023-05-10 16:32:00+00:00,1880.6,1881.09,1879.8,1879.99,5.9412,15.0,1880.4218967549
ETH/USD,2023-05-10 16:33:00+00:00,1879.86,1879.86,1879.2,1879.49,2.4979,9.0,1879.4689162897
ETH/USD,2023-05-10 16:34:00+00:00,1880.0,1882.0,1879.87,1881.57,16.4535,36.0,1881.3529038199
ETH/USD,2023-05-10 16:35:00+00:00,1881.79,1881.79,1880.29,1880.63,5.852,17.0,1880.4905498975
ETH/USD,2023-05-10 16:36:00+00:00,1880.63,1880.63,1878.64,1878.69,6.3771,27.0,1879.6181798937
ETH/USD,2023-05-12 21:20:00+00:00,1803.77,1804.94,1802.72,1804.94,13.14,36.0,1803.9538599696
